Usage: Account Number,Usage: Created By ID,Usage: Created Date,Usage: Description,Usage: End Date,Usage: File Name,Usage: GUID,Usage: ID,Usage: Import ID,Usage: Quantity,Usage: RBE Status,Usage: Source Type,Usage: Start Date,Usage: Submission Date,Usage: Unit of Measure,Usage: Updated By ID,Usage: Updated Date
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=ae333881-6669-463e-bcfb-f4a6f1724bfd~appId=NUTANIX_CLUSTERS,12/01/2022,1669871098132.csv,c249e1f3-92a0-44fd-b5c3-6958f1f0dfbf,8a12946e84c8e81e0184cc12e2f21dc7,8a12879984c8cbb40184cc12da3646e3,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=b6c0bfee-00e3-40a3-aea7-7ebdffd8013b~appId=NUTANIX_CLUSTERS,12/01/2022,1669874699436.csv,aa026510-41fd-4a55-a326-c93e33c09f9c,8a12946e84c8e81e0184cc49d2f070c7,8a128d0284c8cbbf0184cc49cdbc1b1d,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=d861612c-e78e-4197-bb27-6be6310686ca~appId=NUTANIX_CLUSTERS,12/01/2022,1669874699436.csv,3a276291-0875-4294-8c1b-5afe92501ae6,8a12946e84c8e81e0184cc49d2f070d0,8a128d0284c8cbbf0184cc49cdbc1b1d,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=a88f03bc-c9a8-4464-ba0f-e5ae915e92b5~appId=NUTANIX_CLUSTERS,12/01/2022,1669878299320.csv,07e1e50f-0071-4252-a4d0-87ca174689f5,8a12946e84c8e81e0184cc80cf6852c9,8a129e9e84c8e8bd0184cc80bbef2bb0,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=67a17804-ba1c-43fa-9c85-72540725c308~appId=NUTANIX_CLUSTERS,12/01/2022,1669878300825.csv,b52bbf63-98f9-4031-ab8f-e77b7f43e998,8a12946e84c8e81e0184cc80d03c52db,8a12822484c8cbc10184cc80c1d71c0f,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=4b2b5845-65c0-4983-80bf-50f7a6759a01~appId=NUTANIX_CLUSTERS,12/01/2022,1669881897086.csv,db25297c-e589-41e2-90d8-276d35bd1954,8a128afb84c8cb2b0184ccb7b14841ea,8a12813884c8cbb80184ccb7a19939c3,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=50e1cc5e-daad-40d7-a609-0d2fd857ec50~appId=NUTANIX_CLUSTERS,12/01/2022,1669881898989.csv,fe8b8636-ea24-447c-be09-4ba71d9dccd6,8a128afb84c8cb2b0184ccb7b17641f7,8a12813884c8cbb80184ccb7a90e3a18,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=303b764a-900c-4ccf-aa80-4f03327796ad~appId=NUTANIX_CLUSTERS,12/01/2022,1669885498429.csv,53281516-63b3-40a6-b546-e0b663623dd4,8a128afb84c8cb2b0184cceea1123712,8a1296a584c8e8d30184ccee9593087d,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=4bf95ed9-76d1-42d1-9ec4-6f64a97ab725~appId=NUTANIX_CLUSTERS,12/01/2022,1669885499891.csv,279bae82-bac1-4771-8426-f8c8f479bd25,8a12946e84c8e81e0184cceeae5645b3,8a129ac284c8e8af0184ccee9b146005,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=8d960d91-5ccc-4685-b6ca-5e2da70cf8b1~appId=NUTANIX_CLUSTERS,12/01/2022,1669889092587.csv,f7844302-aea3-422e-acce-2e09269f4fb9,8a12946e84c8e81e0184cd25801d5069,8a12813884c8cbb80184cd256d4a63b0,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=2ee9567b-d495-4987-a4e7-9c70546dad19~appId=NUTANIX_CLUSTERS,12/01/2022,1669889095327.csv,8ff8589e-5f8e-428b-b2de-c8e355db775a,8a12946e84c8e81e0184cd258b355079,8a129ac284c8e8af0184cd2577b201a2,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=94f48fd6-40eb-4028-bd66-b9015a5945d0~appId=NUTANIX_CLUSTERS,12/01/2022,1669892695934.csv,e29517c1-0149-4f57-86c9-30fc440bafa2,8a128afb84c8cb2b0184cd5d73186464,8a12879984c8cbb40184cd5c690e6e45,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=24145104-b4d9-4b77-a3a5-ab636e303068~appId=NUTANIX_CLUSTERS,12/01/2022,1669892698750.csv,5115619b-b2b9-4641-8b98-07cfcf265038,8a128afb84c8cb2b0184cd5d73896469,8a12838084c8cbba0184cd5c73c8282d,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=ac2a3250-9e3f-4d63-8f14-3b13be673c96~appId=NUTANIX_CLUSTERS,12/01/2022,1669896292862.csv,f4eebd67-02ac-4776-8f69-bcfe7c158142,8a12946e84c8e81e0184cd935abd039e,8a12822484c8cbc10184cd934b866540,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=d8942d1e-aa37-49cb-a393-ce9dfb6b145a~appId=NUTANIX_CLUSTERS,12/01/2022,1669896297258.csv,8f631850-8d43-4ad7-8a68-a5793461c214,8a128afb84c8cb2b0184cd936aff1f09,8a12879984c8cbb40184cd935c6c61a4,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=2cd5a9dc-7a54-4c99-aff1-7bb03173c4c0~appId=NUTANIX_CLUSTERS,12/01/2022,1669899900930.csv,ff44ac06-110e-4f3a-b22b-6fa5f9b22330,8a128afb84c8cb2b0184cdca6bed65d9,8a128c0b84c8cbbb0184cdca591616bc,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=2697dd36-6dde-413e-96c9-f89a26d5d435~appId=NUTANIX_CLUSTERS,12/01/2022,1669899904236.csv,87225d58-ab2c-4962-b494-c5ee779d293c,8a12946e84c8e81e0184cdca747b72fa,8a12987d84c8e8ac0184cdca66472a25,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=72752817-e300-45c4-a842-805007a8958e~appId=NUTANIX_CLUSTERS,12/01/2022,1669903499460.csv,44ac86ab-6322-45da-bc89-9f7cc3aff3fb,8a128afb84c8cb2b0184ce014c902f18,8a129cc384c8e8a50184ce0141f46d1a,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=901bec57-691b-45be-9c3e-5052836fb8f1~appId=NUTANIX_CLUSTERS,12/01/2022,1669903494509.csv,37e66aaf-79b3-4137-a3ee-fa165243e88a,8a128afb84c8cb2b0184ce014d252f26,8a12987d84c8e8ac0184ce013ad578ec,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=bc60ad19-de71-4a80-a74d-aa9b8e43fa71~appId=NUTANIX_CLUSTERS,12/01/2022,1669907101223.csv,75ba8211-cb40-408c-a2b0-f7ac6d2bb4ef,8a128afb84c8cb2b0184ce3841505ca6,8a12822484c8cbc10184ce3838fd773b,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=e55c2219-cd8a-4d64-bb92-b80fc309cf03~appId=NUTANIX_CLUSTERS,12/01/2022,1669907101223.csv,f2181249-4b86-47e6-89de-e736677415cb,8a128afb84c8cb2b0184ce3841515cae,8a12822484c8cbc10184ce3838fd773b,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=ca77a181-8e0b-4cd9-b60b-dc64c7da57b1~appId=NUTANIX_CLUSTERS,12/01/2022,1669910694950.csv,d67f4e81-5987-4a41-b6de-35b0f5082231,8a12946e84c8e81e0184ce6f1a0e2962,8a12847f84c8cbb60184ce6f0d466755,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=fb86bd2f-9891-4f65-88f8-6c210b904707~appId=NUTANIX_CLUSTERS,12/01/2022,1669910697558.csv,a27cef9d-d272-4b23-bc2a-f1672fbb8d77,8a128afb84c8cb2b0184ce6f25a54b52,8a1296a584c8e8d30184ce6f17ec6b97,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=7bb5a5a6-6d8b-48d3-8ab7-5041973b887e~appId=NUTANIX_CLUSTERS,12/01/2022,1669914303828.csv,742cfadb-8090-456c-9ce9-5bf791b55aed,8a12946e84c8e81e0184cea62fb638a9,8a128d0284c8cbbf0184cea61f1d5c0b,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=99bb5028-d361-4928-af9b-299fb42b5659~appId=NUTANIX_CLUSTERS,12/01/2022,1669914307471.csv,ea397cc2-3479-44bb-81b4-e3a9f9eda24a,8a128afb84c8cb2b0184cea63952773c,8a12838084c8cbba0184cea62cd27f3b,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=e1f482b4-7264-4238-a1af-b1b182000205~appId=NUTANIX_CLUSTERS,12/01/2022,1669917893180.csv,909cc342-6b0e-417f-9c74-e34f0d652f83,8a128afb84c8cb2b0184cedcecd02137,8a12813884c8cbb80184cedce3af4a86,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=b2ef7094-c45e-4e6a-9f6a-e4515c3e7288~appId=NUTANIX_CLUSTERS,12/01/2022,1669917898167.csv,ddb77fa1-493e-4e20-ae26-cd10b3ab7808,8a128afb84c8cb2b0184cedd0084213f,8a1282cd84c8cbac0184cedcf72165e0,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=c295ee43-0162-49f2-9450-58ca09955b62~appId=NUTANIX_CLUSTERS,12/01/2022,1669921496379.csv,ccfe7121-0a9c-4139-b09c-d3529edf1cd5,8a128afb84c8cb2b0184cf13e73b2f58,8a129e9e84c8e8bd0184cf13dec41a03,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=86241ed5-d0ae-41d9-a089-58e1a72aad95~appId=NUTANIX_CLUSTERS,12/01/2022,1669921497884.csv,e81b2db8-ddd3-45e1-9328-407e43c1519a,8a12946e84c8e81e0184cf13edcf5810,8a128c0b84c8cbbb0184cf13e45d3f2e,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=bfa2df79-fd11-40f2-adef-e8c3ae683b6a~appId=NUTANIX_CLUSTERS,12/01/2022,1669925092650.csv,9b9cddd5-028e-453a-a636-badeed5ec245,8a128afb84c8cb2b0184cf4acabc2205,8a129e9e84c8e8bd0184cf4abe625b0b,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=3d780556-9f6c-44d5-8500-d68c6734bfd5~appId=NUTANIX_CLUSTERS,12/01/2022,1669925092650.csv,7225c773-6100-429d-bf3e-5c80f6a380d5,8a128afb84c8cb2b0184cf4acabc220d,8a129e9e84c8e8bd0184cf4abe625b0b,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=1c96f64b-eab1-45b5-8e3c-a0295f92702d~appId=NUTANIX_CLUSTERS,12/01/2022,1669928695307.csv,697bb690-70a1-4fe6-b71f-d444cef54ced,8a128afb84c8cb2b0184cf8221af433f,8a128d0284c8cbbf0184cf81b74f0cda,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=cde14298-275c-4535-b6ad-268b452a728a~appId=NUTANIX_CLUSTERS,12/01/2022,1669928700310.csv,b4c8a8fe-a8e6-4d95-bb32-7b99170bcc20,8a128afb84c8cb2b0184cf82237c4367,8a129fcb84c8e8af0184cf81cb0973f9,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=d15c2854-b6c0-4c4f-90a1-d375d500cdb6~appId=NUTANIX_CLUSTERS,12/01/2022,1669932296904.csv,af791ed8-0038-4e4f-b8ef-849b632a2ad0,8a128afb84c8cb2b0184cfb8b8b94aee,8a12866584c8cbb40184cfb8ac9b0dc4,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=cd085e64-f374-4d35-a87c-9cf6af9238b2~appId=NUTANIX_CLUSTERS,12/01/2022,1669932300317.csv,daa6a92a-159b-40f8-830e-273b4d14f591,8a128afb84c8cb2b0184cfb8ca464b05,8a12987d84c8e8ac0184cfb8b9630436,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=7336429c-7111-4fa8-8266-bf95cc627b51~appId=NUTANIX_CLUSTERS,12/01/2022,1669935896154.csv,0d311bc4-e961-439f-880c-2823db8c99f5,8a12946e84c8e81e0184cfef9da304bc,8a1282cd84c8cbac0184cfef9825687e,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/01/2022,~trackingId=b8e3705f-f74a-4b1b-ac4b-e16febb010b7~appId=NUTANIX_CLUSTERS,12/01/2022,1669935897779.csv,760c3312-11fe-4ae7-baee-809d18ae68f0,8a128afb84c8cb2b0184cfefa516024c,8a128d0284c8cbbf0184cfef9e23647d,0,Processed,Import,12/01/2022,12/01/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/02/2022,~trackingId=53ad1c8d-9162-4103-b67e-907b32b230b2~appId=NUTANIX_CLUSTERS,12/01/2022,1669939502808.csv,10af90e2-8440-4ab5-a085-7d8742bb070f,8a12946e84c8e81e0184d026a78a74bb,8a12947a84c8e8ac0184d026a04b0990,0,Processed,Import,12/01/2022,12/02/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/02/2022,~trackingId=3761e4dd-8205-474a-9a22-800711dc2470~appId=NUTANIX_CLUSTERS,12/01/2022,1669939503887.csv,78800275-e5fa-4a13-a324-5c2d4b17e810,8a12946e84c8e81e0184d026ace374cd,8a12866a84c8cbcd0184d026a4765c9c,0,Processed,Import,12/01/2022,12/02/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/02/2022,~trackingId=0136fc1e-26ab-4150-912c-f8dcabafcfef~appId=NUTANIX_CLUSTERS,12/02/2022,1669943094121.csv,1af0a22d-52d6-4310-ba3b-ac35369e226b,8a12946e84c8e81e0184d05d766d1fa6,8a129ac284c8e8af0184d05d6ccd596e,0,Processed,Import,12/02/2022,12/02/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/02/2022,~trackingId=5ca9f5b4-20cf-494e-90c0-686089081948~appId=NUTANIX_CLUSTERS,12/02/2022,1669943099609.csv,bebc2ab6-f3d2-4472-90a7-24ea3e5cd2fb,8a128afb84c8cb2b0184d05d920640cc,8a129cc384c8e8a50184d05d82135101,0,Processed,Import,12/02/2022,12/02/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/02/2022,~trackingId=0e955290-658c-480d-9b07-962cf110e6a3~appId=NUTANIX_CLUSTERS,12/02/2022,1669946696290.csv,199bb423-e0b8-41b7-9291-f5a68caf85ff,8a12946e84c8e81e0184d0946ceb0372,8a12987d84c8e8ac0184d09464c175fb,0,Processed,Import,12/02/2022,12/02/2022,CLUSTERS_AOS_AZURE_ULT_FLASH_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
A00002889,2c92a0ff5d2b8649015d37e979860e20,12/02/2022,~trackingId=9283a365-37f0-456f-ab46-f001fe416519~appId=NUTANIX_CLUSTERS,12/02/2022,1669946700514.csv,72da2f98-2f87-4ea8-9981-54e8e561b38b,8a128afb84c8cb2b0184d0947b8b01a5,8a129baf84c8e8be0184d09474f17642,0,Processed,Import,12/02/2022,12/02/2022,CLUSTERS_AOS_AZURE_ULT_CORE_1H,2c92a0fe66c960c90166d0519efd7391,12/29/2022
